Seed,ModularityQ,Communities,Converged
1,0.926283770931045,241,1
2,0.926095291012998,238,1
3,0.925580896910678,252,1
4,0.925998247626212,236,1
5,0.925811323998256,235,1
6,0.926003514922391,243,1
7,0.926285012689818,243,1
8,0.926231555944246,237,1
9,0.926149155376534,231,1
10,0.926120361510249,233,1
11,0.926149803247228,239,1
12,0.926483049594748,251,1
13,0.925974087820187,237,1
14,0.926268016059738,241,1
15,0.926259490989323,239,1
16,0.926629859354122,243,1
17,0.925993418917776,231,1
18,0.926324371380404,249,1
19,0.92620380574611,242,1
20,0.926212490885662,233,1
