Seed,ModularityQ,Communities,Converged
1,0.819948848834976,223,1
2,0.821789171882015,201,1
3,0.821664397219112,203,1
4,0.820697095343485,216,1
5,0.82083031447135,218,1
6,0.821041763121103,203,1
7,0.821112651605227,211,1
8,0.8219900687893,211,1
9,0.819400096731585,223,1
10,0.820204595274845,195,1
11,0.819826259198674,195,1
12,0.821417216290065,196,1
13,0.820245589980218,225,1
14,0.820654878503521,216,1
15,0.821089068921559,217,1
16,0.82099837673049,218,1
17,0.820081023437751,235,1
18,0.820420058504762,202,1
19,0.820971435982061,204,1
20,0.821412713622518,205,1
