Seed,ModularityQ,Communities,Converged
1,0.418803418803419,4,1
2,0.419789612097304,4,1
3,0.418803418803419,4,1
4,0.418803418803419,4,1
5,0.395216962524655,4,1
6,0.415105193951348,4,1
7,0.415598290598291,4,1
8,0.419789612097304,4,1
9,0.415598290598291,4,1
10,0.415598290598291,4,1
11,0.415105193951348,4,1
12,0.393655489809336,4,1
13,0.418803418803419,4,1
14,0.415598290598291,4,1
15,0.415105193951348,4,1
16,0.415598290598291,4,1
17,0.419789612097304,4,1
18,0.395216962524655,4,1
19,0.415598290598291,4,1
20,0.415105193951348,4,1
