Seed,ModularityQ,Communities,Converged
1,0.81465706494938,28,1
2,0.814610572158723,28,1
3,0.813133666523518,29,1
4,0.814722905269884,26,1
5,0.813570298069501,30,1
6,0.815107813634763,27,1
7,0.813676847874311,27,1
8,0.813516700147805,29,1
9,0.814807734209913,28,1
10,0.813984821386227,29,1
11,0.814257438674487,28,1
12,0.814831792841938,25,1
13,0.813103549097217,25,1
14,0.815304127234882,28,1
15,0.8124327657494,28,1
16,0.81233940250389,29,1
17,0.813800340833142,31,1
18,0.814322955005672,25,1
19,0.814931504596724,27,1
20,0.813971681388267,23,1
