Seed,ModularityQ,Communities,Converged
1,0.526722404759334,4,1
2,0.52656814804531,4,1
3,0.526966644556538,5,1
4,0.52656814804531,4,1
5,0.526789249335411,5,1
6,0.526966644556538,5,1
7,0.526966644556538,5,1
8,0.526619566949985,5,1
9,0.526789249335411,5,1
10,0.526467881181195,4,1
11,0.526966644556538,5,1
12,0.526966644556538,5,1
13,0.526966644556538,5,1
14,0.526789249335411,5,1
15,0.526406178495586,4,1
16,0.526789249335411,5,1
17,0.526722404759334,4,1
18,0.526966644556538,5,1
19,0.526966644556538,5,1
20,0.526966644556538,5,1
