Dataset,NetworkType,Alternative,IsCandidate,WelfareAtZero,WelfareSlope,SingletonSumAtZero,SurplusAtZero,SurplusSlope,CriticalC,CriticalCErrorEstimate
Karate,Local,1,0,1255.08823529412,-20.4,550.911764705882,704.176470588235,-40.8,17.2592272202999,5.05098039215686e-10
Karate,Local,2,0,1397.47990196078,-20.4,576.520098039216,820.959803921569,-40.8,20.1215638216071,5.50502450980392e-10
Karate,Local,3,0,1527.61617647059,-20.4,502.383823529412,1025.23235294118,-40.8,25.1282439446367,5.58627450980392e-10
Karate,Local,4,0,1515.25539215686,-20.4,626.744607843137,888.510784313726,-40.8,21.7772251057286,5.95072087658593e-10
Karate,Local,5,1,1777.10980392157,-20.4,476.890196078431,1300.21960784314,-40.8,31.8681276432141,6.15931372549019e-10
Karate,Local,6,0,1690.91078431373,-20.4,675.089215686275,1015.82156862745,-40.8,24.8975874663591,6.2171568627451e-10
Karate,Local,7,0,1419.40098039216,-20.4,750.599019607843,668.801960784314,-40.8,16.3922049211842,5.8639753940792e-10
Karate,Local,8,0,1657.1387254902,-20.4,736.861274509804,920.277450980392,-40.8,22.5558198769704,6.31825980392157e-10
Karate,Global,1,0,1269.577786835,-51,536.422213165,733.15557367,-102,7.18779974186274,2.23987251613005e-10
Karate,Global,2,0,1409.83431298306,-51,564.165687016937,845.668625966127,-102,8.29086888202085,2.45271695552698e-10
Karate,Global,3,0,1504.90016826562,-51,525.099831734383,979.800336531235,-102,9.60588565226701,2.50561360094855e-10
Karate,Global,4,0,1518.99086384709,-51,623.009136152914,895.981727694172,-102,8.78413458523698,2.64093889606338e-10
Karate,Global,5,1,1740.54494961022,-51,513.455050389777,1227.08989922045,-102,12.0302931296122,2.75651507760432e-10
Karate,Global,6,0,1674.84393853638,-51,691.156061463619,983.687877072762,-102,9.643998794831,2.80304226725959e-10
Karate,Global,7,0,1459.97967256039,-51,710.020327439606,749.959345120789,-102,7.35254259922343,2.60904507739371e-10
Karate,Global,8,0,1661.32830734941,-51,732.671692650588,928.656614698824,-102,9.10447661469435,2.83235948864725e-10
PolBK,Local,1,0,4549.78282398761,-63,1750.21717601239,2799.56564797521,-126,22.2187749839303,5.54403014974444e-10
PolBK,Local,2,0,4825.64364519538,-63,1964.35635480462,2861.28729039077,-126,22.7086292888156,5.81665650889254e-10
PolBK,Local,3,0,4633.44292620423,-63,2002.55707379577,2630.88585240846,-126,20.8800464476862,5.85158843537415e-10
PolBK,Local,4,0,4630.28941493289,-63,1977.71058506711,2652.57882986579,-126,21.0522129354428,5.86967421180154e-10
