Dataset,NetworkType,Nodes,UndirectedEdges,IsolatedNodes,CandidateSet,OptimalAlternative,WelfareAtZero,WelfareSlope,SurplusAtZero,SurplusSlope,CriticalC,CriticalCErrorEstimate,Iterations,MaxUtilityErrorEstimate
Karate,Local,34,78,0,a5,5,1777.10980392157,-20.4,1300.21960784314,-40.8,31.8681276432141,6.15931372549019e-10,0,0
Karate,Global,34,78,0,a5,5,1740.54494961022,-51,1227.08989922045,-102,12.0302931296122,2.75651507760432e-10,54,5.60262947146839e-11
PolBK,Local,105,441,0,a7,7,5244.10004466548,-63,3278.20008933096,-126,26.0174610264362,6.10690600289979e-10,0,0
PolBK,Global,105,441,0,a7,7,5253.69945747634,-157.5,3297.39891495268,-315,10.4679330633418,2.79740305436963e-10,54,5.38769029390096e-11
LastFM,Local,7624,27806,0,a8,8,348315.163627801,-4574.40000000004,210704.327255602,-9148.80000000007,23.0308157633351,5.90090017270953e-10,0,0
LastFM,Global,7624,27806,0,a8,8,347713.686811727,-11436,209501.373623454,-22872,9.15973127070017,2.64378525477228e-10,54,5.06261699229073e-11
Amazon,Local,334863,925872,0,a6,6,15089270.6630785,-200917.800000004,9057063.32615692,-401835.600000007,22.5392258081582,5.813068582147e-10,0,0
Amazon,Global,334863,925872,0,a6,6,15089308.7806282,-502294.5,9057139.56125639,-1004589,9.01576621011815,2.72317456191649e-10,54,6.46238618173822e-11
DBLP,Local,317080,1049866,0,a6,6,14305851.3457016,-190248.000000004,8610938.69140326,-380496.000000007,22.6308257942346,5.82460826896537e-10,0,0
DBLP,Global,317080,1049866,0,a6,6,14303442.3997108,-475620,8606120.79942166,-951240,9.04726546341791,2.7320459661646e-10,54,6.56363852158396e-11
